('400', '0.01%')
('погибло', '0.01%')
('объявил', '0.01%')
('целом', '0.01%')
('метров', '0.01%')
('колонна', '0.01%')
('находилась', '0.01%')
('впереди', '0.01%')
('южане', '0.01%')
('остались', '0.01%')
('уйти', '0.01%')
('продолжал', '0.01%')
('джордж', '0.01%')
('льюис', '0.01%')
('12-раундовом', '0.01%')
('села', '0.01%')
('основных', '0.01%')
('имела', '0.01%')
('получив', '0.01%')
('вся', '0.01%')
('прорыва', '0.01%')
('одном', '0.01%')
('потеряла', '0.01%')
('тяжёлые', '0.01%')
('контр-адмирала', '0.01%')
('сообщение', '0.01%')
('николай', '0.01%')
('переговоры', '0.01%')
('род', '0.01%')
('контракт', '0.01%')
('численности', '0.01%')
('маршал', '0.01%')
('многих', '0.01%')
('следует', '0.01%')
('пор', '0.01%')
('крайне', '0.01%')
('возле', '0.01%')
('августе', '0.01%')
('нем', '0.01%')
('родился', '0.01%')
('бокс', '0.01%')
('хойя', '0.01%')
('оно', '0.01%')
('продвижение', '0.01%')
('начальник', '0.01%')
('прекратил', '0.01%')
('карл', '0.01%')
('вероятно', '0.01%')
('линейные', '0.01%')
('1995', '0.01%')
('обоих', '0.01%')
('цель', '0.01%')
('чел', '0.01%')
('повстанцев', '0.01%')
('8-й', '0.01%')
('понесли', '0.01%')
('поддержки', '0.01%')
('красной', '0.01%')
('бойца', '0.01%')
('холмс', '0.01%')
('хэй', '0.01%')
('результаты', '0.01%')
('князь', '0.01%')
('флагман', '0.01%')
('манёвр', '0.01%')
('совершенно', '0.01%')
('остатки', '0.01%')
('вели', '0.01%')
('англии', '0.01%')
('руководством', '0.01%')
('батальонов', '0.01%')
('ущелье', '0.01%')
('world', '0.01%')
('1993', '0.01%')
('лучших', '0.01%')
('сергей', '0.01%')
('гатти', '0.01%')
('годах', '0.01%')
('постоянно', '0.01%')
('численностью', '0.01%')
('отрядов', '0.01%')
('подошли', '0.01%')
('британского', '0.01%')
('сигнал', '0.01%')
('воды', '0.01%')
('=====', '0.01%')
('правой', '0.01%')
('южан', '0.01%')
('отойти', '0.01%')
('неопр', '0.01%')
('настил', '0.01%')
('ниже', '0.01%')
('гарнизон', '0.01%')
('дебютировал', '0.01%')
('укрепления', '0.01%')
('степени', '0.01%')
('стать', '0.01%')
('принять', '0.01%')
('смерти', '0.01%')
('островов', '0.01%')
('средней', '0.01%')
('жизни', '0.01%')
('энциклопедия', '0.01%')
('жизнь', '0.01%')
('итогам', '0.01%')
('помимо', '0.01%')
('ред', '0.01%')
('35', '0.01%')
('оставив', '0.01%')
('таких', '0.01%')
('направил', '0.01%')
('70', '0.01%')
('великого', '0.01%')
('биография', '0.01%')
('ввс', '0.01%')
('линкоров', '0.01%')
('выступил', '0.01%')
('федеральной', '0.01%')
('боевиков', '0.01%')
('мма', '0.01%')
('4-го', '0.01%')
('стоял', '0.01%')
('борт', '0.01%')
('вперед', '0.01%')
('9-й', '0.01%')
('некоторое', '0.01%')
